id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_cap_mm
moew,moew,MOEW,https://coin-images.coingecko.com/coins/images/36737/large/MOEW.jpeg?1712210114,0.00058349,0.0,,5816841.0,2260667.0,0.00065978,0.00050857,8.9e-06,1.54827,0.0,0.0,0.0,10000000000.0,10000000000.0,0.00222115,-74.06263,2024-04-06T16:59:46.421Z,0.00033024,74.44875,2024-05-01T08:26:50.616Z,,2024-11-15T13:23:09.837Z,5.816841
monkey-peepo,bananas,Monkey Peepo,https://coin-images.coingecko.com/coins/images/37036/large/logo-mp.png?1713160745,4.325e-05,0.0,,43253.0,600.22,4.636e-05,4.265e-05,-3.018703500464e-06,-6.52382,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00492246,-99.12131,2024-04-15T11:07:23.063Z,1.512e-05,185.99324,2024-08-05T13:01:58.474Z,,2024-11-15T13:07:42.325Z,0.043253
mooncats-on-base,mooncats,Mooncats on Base,https://coin-images.coingecko.com/coins/images/36766/large/mooncats.png?1712283962,0.00037401,0.0,,374014.0,11.59,0.00038462,0.00036293,-9.168090615316e-06,-2.39262,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00199602,-81.26198,2024-04-05T02:31:53.328Z,0.00025979,43.96734,2024-09-06T21:01:54.976Z,,2024-11-15T12:02:02.792Z,0.374014
elephantpepe,elepepe,ElephantPepe,https://coin-images.coingecko.com/coins/images/36507/large/coingecko-elepepe.png?1711643850,5.65e-06,0.0,,5646.38,8.21,5.7e-06,5.49e-06,3.2376e-08,0.5767,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00117593,-99.51984,2024-04-13T06:47:32.313Z,4.1e-06,37.58043,2024-09-16T21:01:07.138Z,,2024-11-15T12:56:37.255Z,0.00564638
edison-bored,bored,BORED,https://coin-images.coingecko.com/coins/images/37050/large/bored.jpeg?1713340233,0.00096765,0.0,,3039954.0,147576.0,0.00099591,0.00095006,-2.8257773584723e-05,-2.8374,0.0,0.0,0.0,3141592653.0,3141592653.0,0.0040768,-76.30577,2024-04-15T13:00:42.082Z,0.00076978,25.48634,2024-11-04T21:57:14.116Z,,2024-11-15T13:24:22.182Z,3.039954
noggles,nogs,Noggles,https://coin-images.coingecko.com/coins/images/37238/large/nogs.jpeg?1713851209,2.055e-05,0.0,,1415928.0,58392.0,2.061e-05,2.039e-05,8.2949e-08,0.40535,0.0,0.0,0.0,68999999997.0,,0.00035712,-94.27273,2024-04-23T10:35:44.943Z,1.605e-05,27.44478,2024-11-06T06:55:06.852Z,,2024-11-15T13:23:34.798Z,1.415928
bald-dog,baldo,Bald Dog,https://coin-images.coingecko.com/coins/images/36287/large/0xD2FAA0cAeE8421959aa13Fbd20A7ed7e93702FFE.png?1711008902,0.00074711,0.0,,7471.07,117.54,0.00069479,0.00064267,9.598e-05,14.74052,0.0,0.0,0.0,10000000.0,10000000.0,0.173578,-99.60123,2024-03-26T08:09:45.570Z,0.00064267,7.70386,2024-11-14T15:34:37.887Z,,2024-11-15T13:20:37.751Z,0.00747107
normus,normus,Normus,https://coin-images.coingecko.com/coins/images/38595/large/token-removebg-preview_%281%29.png?1718094574,7.39e-05,0.0,,73795.0,1538.29,7.746e-05,7.013e-05,-1.895652362025e-06,-2.501,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00839891,-99.12174,2024-06-22T21:13:56.000Z,1.997e-05,269.30525,2024-09-11T15:10:31.968Z,,2024-11-15T13:24:26.700Z,0.073795
basic-dog-meme,dog,Basic Dog Meme,https://coin-images.coingecko.com/coins/images/33749/large/Round_Logo.png?1703245893,0.00030701,0.0,,307014.0,18298.58,0.00031496,0.00029367,-4.073294758718e-06,-1.30937,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00824389,-96.29519,2024-03-08T09:51:58.454Z,0.00029367,3.99967,2024-11-15T08:15:26.374Z,,2024-11-15T13:23:20.592Z,0.307014
okayeg,okayeg,Okayeg,https://coin-images.coingecko.com/coins/images/37748/large/Okayeg_200.png?1715442444,1.658e-05,0.0,,6980607.0,527139.0,1.792e-05,1.346e-05,-1.065088238087e-06,-6.03777,0.0,0.0,0.0,420690000000.0,420690000000.0,5.614e-05,-70.21934,2024-05-21T23:47:09.975Z,7.32179e-07,2183.50979,2024-09-16T17:43:53.013Z,,2024-11-15T13:24:27.267Z,6.980607
pola,pola,Pola On Base,https://coin-images.coingecko.com/coins/images/37314/large/pola.jpg?1713971028,0.0001058,0.0,,102509.0,2345.36,0.00010907,9.191e-05,-3.126284005796e-06,-2.87008,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00906813,-98.85335,2024-05-04T11:28:47.343Z,4.578e-05,127.11412,2024-10-11T18:32:07.337Z,,2024-11-15T13:24:27.315Z,0.102509
degen-pov-2,pov,Degen POV,https://coin-images.coingecko.com/coins/images/37921/large/degen.jpeg?1715936621,5.0141e-08,0.0,,50239.0,1409.75,5.0239e-08,4.3177e-08,9.29451e-10,1.88869,0.0,0.0,0.0,1000000000000.0,1000000000000.0,1.6e-06,-96.86713,2024-06-06T14:04:51.563Z,2.0781e-08,141.57447,2024-08-05T13:29:33.781Z,,2024-11-15T13:22:09.661Z,0.050239
poopcoin-poop,poop,Poopcoin,https://coin-images.coingecko.com/coins/images/36549/large/poopcoin.png?1711876394,0.00116407,0.0,,1163870.0,472206.0,0.00228791,0.00116387,-0.000104381724313692,-8.22906,0.0,0.0,0.0,1000000000.0,1000000000.0,0.01885904,-93.12994,2024-03-31T10:49:43.024Z,8.658e-05,1396.39618,2024-08-16T14:48:10.808Z,,2024-11-15T13:24:26.523Z,1.16387
rocky-on-base,$rocky,ROCKY,https://coin-images.coingecko.com/coins/images/37465/large/rocky3.png?1714454996,0.00059371,0.0,,593680.0,10338.48,0.00062305,0.00056875,-2.6100879340164e-05,-4.21111,0.0,0.0,0.0,1000000000.0,,0.064156,-99.07529,2024-05-04T00:16:29.306Z,0.00028686,106.81125,2024-11-04T21:57:12.120Z,,2024-11-15T13:23:35.794Z,0.59368
roost,roost,Roost,https://coin-images.coingecko.com/coins/images/36458/large/roost.jpeg?1711493580,0.00252871,0.0,,2540329.0,126088.0,0.00254033,0.00213844,0.00021052,9.08125,0.0,0.0,0.0,1000000000.0,1000000000.0,0.131903,-98.09081,2024-03-27T09:23:42.994Z,0.00072595,246.89487,2024-05-22T09:51:09.213Z,,2024-11-15T13:22:59.224Z,2.540329
