symbol,name,current_price,market_cap_rank,total_volume,price_change_percentage_24h,ath,ath_date,market_cap_mm,contract_address,meme,base_ecosystem,cat_themed,base_meme,dog_themed,farcaster_ecosystem,frog_themed,the_boy’s_club,solana_ecosystem,ai_meme,parody_meme,layer_3_(l3),bnb_chain_ecosystem,avalanche_ecosystem,arbitrum_ecosystem,ethereum_ecosystem,shibarium_ecosystem,hybrid_token_standards,solana_meme,politifi,launchpad,fantom_ecosystem,ton_ecosystem,ton_meme,country_themed_meme,polygon_ecosystem,gaming_(gamefi),nft,on_chain_gaming,erc_404,inscriptions,erc20i
bamboo,Bamboo on Base,0.01123674,1544.0,193750.0,1.88273,0.04278792,2024-07-21T08:10:34.327Z,11.233966,0x1b6a569dd61edce3c383f6d565e2f79ec3a12980,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crash,Crash On Base,0.01147096,1557.0,565949.0,74.23921,0.03898669,2024-06-27T13:23:19.268Z,10.969829,0x4dd9077269dd08899f2a9e73507125962b5bc87f,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coinye,Coinye West,0.01152476,1607.0,299702.0,125.60282,0.04538102,2024-04-02T01:51:21.711Z,10.136566,0x0028e1e60167b48a938b785aa5292917e7eaca8b,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sumi,SUMI,0.00864286,1858.0,1694082.0,298.39912,0.01205455,2024-11-15T20:41:31.054Z,6.682103,0xe8aae6251c6cf39927b0ff31399030c60bec798f,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weirdo,Weirdo,9.255e-05,1886.0,235792.0,7.15179,0.00023272,2024-05-23T09:55:43.246Z,6.424703,0x76734b57dfe834f102fb61e1ebf844adf8dd931e,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
briun,Briun Armstrung,0.00741825,1957.0,341060.0,38.23782,0.0328559,2024-03-20T15:32:01.959Z,5.890123,0x8c81b4c816d66d36c4bf348bdec01dbcbc70e987,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skop,Skull of Pepe Token,0.03472445,2037.0,722121.0,28.12743,0.142385,2024-06-01T15:05:59.320Z,5.222417,0x6d3b8c76c5396642960243febf736c6be8b60562,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wewe,WEWECOIN,4.5e-05,2168.0,246640.0,-34.18325,0.00039717,2024-07-21T08:17:29.800Z,4.499766,0x6d3b8c76c5396642960243febf736c6be8b60562,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kendu,Kendu Inu,4.12e-06,2239.0,66170.0,18.90381,6.43e-06,2024-11-02T17:01:33.607Z,4.119258,0x5597ce42b315f29e42071d231dcd0158da35b77b,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aerobud,AEROBUD,0.00374154,2317.0,201939.0,48.61119,0.00536663,2024-06-05T20:34:58.318Z,3.740075,0xfad8cb754230dbfd249db0e8eccb5142dd675a0d,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
